name,name_en,category,category_en,lat,lng,area,description,description_en,localTip,localTip_en,imageUrl,address
Lola,Lola,Tapas Bar,Tapas Bar,50.0776,14.4174,Nové Město,"İspanyol tapas ve vermut barı. Charcuterie, peynir tabakları, galicia usulü ahtapot ve patatas bravas gibi lezzetler sunuyor.","Spanish tapas and vermouth bar serving charcuterie, cheese boards, Galician-style octopus and patatas bravas.","Akşam yemeğinden önce aperitif için uğrayın, vermut seçkisi harika.","Stop by for aperitivo before dinner, the vermouth selection is excellent.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/lola.jpg,Myslíkova 20
Bublina,Bublina,Bistro,Bistro,50.0780,14.4380,Vinohrady,"Akdeniz mutfağını modern bir yaklaşımla sunan bistro. İtalyan, Yunan, İspanyol ve Kuzey Afrika esintileri bir arada.","Mediterranean-inspired bistro blending Italian, Greek, Spanish and North African influences in a modern setting.","Hafta içi öğle menüsü çok uygun fiyatlı ve lezzetli.","The weekday lunch menu offers great value and delicious options.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/bublina.jpg,Vinohrady
420 Restaurant,420 Restaurant,Modern Çek,Modern Czech,50.0870,14.4205,Old Town,"Michelin yıldızlı şef Radek Kašpárek'in Eski Şehir Meydanı'ndaki restoranı. Yenilikçi Çek mutfağı sunuyor.","Michelin-starred chef Radek Kašpárek's Old Town Square restaurant offering innovative Czech cuisine with a modern twist.","Tadım menüsünü deneyin, şefin yaratıcılığını en iyi şekilde yansıtıyor.","Try the tasting menu to fully experience the chef's creative vision.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/420_restaurant.jpg,Staroměstské náměstí 24
Skô,Skô,Slovak Restoran,Slovak Restaurant,50.0993,14.4487,Holešovice,"Prag'ın ilk genç Slovak restoranı. Açık ateşte pişirilen geleneksel Slovak yemekleri rahat bir atmosferde.","Prague's first young Slovak restaurant featuring traditional dishes prepared on an open-fire grill in a cozy setting.","Bryndzové halušky mutlaka deneyin, geleneksel Slovak lezzeti.","Don't miss the bryndzové halušky, a traditional Slovak specialty.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/sko.jpg,Bubenské nábřeží 13
Nai,Nai,Ukrayna Restoran,Ukrainian Restaurant,50.0657,14.3992,Smíchov,"Modern Ukrayna mutfağı sunan restoran. Lahana dolması, borş çorbası ve Kyiv usulü kotlet gibi geleneksel lezzetler.","Modern Ukrainian restaurant serving traditional dishes like cabbage rolls, borscht and Kyiv-style cutlets.","Ev yapımı borş çorbası efsane, mutlaka sıcak servis isteyin.","Their homemade borscht is legendary, always request it served hot.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/nai.jpg,Kobrova 5
Sandwich Rodeo,Sandwich Rodeo,Amerikan Lokanta,American Diner,50.0997,14.4278,Letná,"1970'ler retro Amerikan atmosferinde karidesli sandviçler ve ev yapımı lezzetler sunan nostaljik lokanta.","Retro 1970s American-style diner serving shrimp rolls and homemade comfort food in a nostalgic atmosphere.","Lobster roll ve karidesli sandviç en popüler seçenekler.","The lobster roll and shrimp sandwich are the most popular choices.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/sandwich_rodeo.jpg,M. Horákové 43
Restaurant Talíř,Restaurant Talíř,Modern Çek,Modern Czech,50.0845,14.4030,Malá Strana,"Şef Denis Wágner'in Çek mutfağını tapas tarzında sunduğu yaratıcı restoran. Açık mutfak konsepti mevcut.","Chef Denis Wágner's creative restaurant serving Czech cuisine in tapas style with an open kitchen concept.","Birden fazla küçük tabak sipariş edin ve paylaşın, en iyi deneyim bu.","Order multiple small plates to share for the best experience.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/restaurant_talir.jpg,Malá Strana
La Bottega Linka,La Bottega Linka,İtalyan,Italian,50.0840,14.4280,Nové Město,"Özel X-Oven kömür fırınında pişirilen et ve balık yemekleriyle tanınan şık İtalyan restoranı.","Elegant Italian restaurant known for meats and fish cooked in a special X-Oven charcoal oven.","Florentine usulü biftek özellikle tavsiye edilir, önceden rezervasyon yapın.","The Florentine steak is highly recommended, book in advance.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/la_bottega_linka.jpg,Nové Město
Restaurant Zvonice,Restaurant Zvonice,Geleneksel Çek,Traditional Czech,50.0832,14.4275,Nové Město,"Jindřišská Kulesi içinde, çanların arasında yemek yeme deneyimi sunan eşsiz atmosferli restoran.","Unique restaurant inside Jindřišská Tower offering dining experience surrounded by historic bells.","Gün batımı saatlerinde gidin, şehir manzarası muhteşem.","Visit during sunset for spectacular city views.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/restaurant_zvonice.jpg,Jindřišská Tower
Mlýnec,Mlýnec,Fine Dining,Fine Dining,50.0857,14.4136,Old Town,"Charles Köprüsü manzaralı Michelin seçili restoran. Mevsimsel ve yerel malzemelerle hazırlanan özenli menü.","Michelin-selected restaurant with Charles Bridge views serving menus crafted from seasonal and local ingredients.","Teras masası için önceden rezervasyon şart, manzara büyüleyici.","Reserve a terrace table in advance, the view is enchanting.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/mlynec.jpg,Novotného lávka 9
