City,Source,Title (TR),Title (EN),Category,Area,Description (TR),Description (EN),Price,Rating,Review Count,Image URL
Amsterdam,OTA,A'DAM Lookout,A'DAM Lookout,Manzara,Noord,IJ Nehri kıyısında yükselen kuleden 360 derecelik Amsterdam panoraması. Adrenalin sevenler için 'Over the Edge' salıncağıyla ayaklarınızı şehirden kesebilirsiniz.,"An observation deck with a stunning birds-eye view of Amsterdam. Daring visitors can try 'Over the Edge,' Europe's highest swing, dangling 100 meters above the ground.",medium,4.4,15000,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/adam_lookout.jpg
Amsterdam,OTA,Albert Cuyp Markt,Albert Cuyp Market,Deneyim,De Pijp,"Hollanda'nın en meşhur ve en büyük sokak pazarı. De Pijp'in kalbinde, taze stroopwafel kokuları ve yerel peynir tezgahları arasında Amsterdam'ın gerçek enerjisini hissedeceğiniz yer.","The most famous and lively street market in the Netherlands. Located in the heart of De Pijp, it's the perfect spot to try fresh stroopwafels, herring, and soak up the local multicultural vibe.",free,4.5,22000,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/albert_cuyp_markt.jpg
Amsterdam,OTA,Albert Heijn Müzesi (Zaanse Schans),Albert Heijn Museum Shop,Müze,Zaanse Schans,Hollanda'nın ünlü market zinciri Albert Heijn'in 1887'deki ilk dükkanının rekonstrüksiyonu. Nostaljik bir alışveriş deneyimi sunar.,A reconstruction of the first shop opened in 1887 by the famous Dutch supermarket chain Albert Heijn. Offers a nostalgic shopping experience.,free,4.5,,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/albert_heijn_museum_zaanse_schans.jpg
Amsterdam,OTA,Alpha coffee Amsterdam,Alpha coffee Amsterdam,Kafe,Amstel 47,"Amstel Nehri kıyısında, Yunan misafirperverliğini 'yavaş yaşam sanatı' ile birleştiren sıcak bir kafe. Spanakopita (ıspanaklı börek) ve ev yapımı tatlılarıyla ünlü olan mekan, sarı duvarları ve rahat atmosferiyle Akdeniz esintileri taşır. Nitelikli kahvenizi yudumlayıp nehir manzarasının tadını çıkarmak için mükemmeldir.","A warm cafe by the Amstel River combining Greek hospitality with the 'art of slow living'. Famous for Spanakopita (spinach pie) and homemade sweets, the venue carries Mediterranean breezes with its yellow walls and relaxed atmosphere. Perfect for sipping specialty coffee and enjoying the river view.",medium,4.9,287,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/alpha_coffee_amsterdam.jpg
Amsterdam,OTA,Amsterdam City Farm Tasting Room & Restaurant,Amsterdam City Farm Tasting Room & Restaurant,Yeme-İçme,Czaar Peterstraat 171e,"Amsterdam City Farm Tasting Room & Restaurant, damak tadınıza hitap eden lezzetleri şık bir atmosferde sunar. Taze ve yerel malzemelerle hazırlanan menüsü, hem Hollanda mutfağından hem de dünya mutfaklarından seçkin örneklerle unutulmaz bir akşam yemeği vaat eder.",Amsterdam City Farm Tasting Room & Restaurant offers flavors appealing to your palate in a stylish atmosphere. Its menu prepared with fresh and local ingredients promises an unforgettable dinner with distinguished examples from both Dutch and world cuisines.,medium,4.9,169,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/amsterdam_city_farm_tasting_room_and_restaurant.jpg
Amsterdam,OTA,Amsterdam Forest (Amsterdamse Bos),Amsterdam Forest (Amsterdamse Bos),Park,Amstelveen,"Central Park'tan 3 kat büyük insan yapımı orman! Keçi çiftliği, kano parkuru, açık hava tiyatrosu. Gerçek doğa.","Man-made forest 3 times bigger than Central Park! Goat farm, canoe course, open air theatre. Real nature.",free,4.7,,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/amsterdam_forest_amsterdamse_bos.jpg
Amsterdam,OTA,Amsterdam Müzesi,Amsterdam Museum,Müze,Centrum,"Amsterdam Museum, Amsterdam'ın zengin kültürel mirasını yansıtan önemli bir duraktır. Tarihi eserleri, etkileyici sergileri ve sunduğu eğitici deneyimle, sanat ve tarih meraklıları için kaçırılmaması gereken bir keşif noktasıdır.","Amsterdam Museum is an important stop reflecting Amsterdam's rich cultural heritage. With historic artifacts, impressive exhibitions, and educational experiences, it is a must-visit discovery point for art and history enthusiasts.",medium,4.6,,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/amsterdam_museum.jpg
Amsterdam,OTA,Anne Frank Evi,Anne Frank House,Müze,Jordaan,"II. Dünya Savaşı sırasında Anne Frank ve ailesinin saklandığı 'Arka Ev', tarihin en karanlık dönemlerinden birine tanıklık eder. Günlüklerinin yazıldığı odayı ve dönemin izlerini görmek, derin ve duygusal bir deneyim sunar. Ziyaret için aylar öncesinden rezervasyon yapılması şiddetle önerilir.",The 'Secret Annex' where Anne Frank and her family hid during World War II bears witness to one of history's darkest periods. Seeing the room where her diaries were written and traces of the era offers a deep and emotional experience. Booking months in advance is strongly recommended.,high,4.7,65000,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/anne_frank_evi.jpg
Amsterdam,OTA,Artis Hayvanat Bahçesi,Artis Zoo,Müze,Plantage,Hollanda'nın en eski hayvanat bahçesi (1838). Şehir merkezinde bir vaha. Akvaryum ve planetaryum da var.,Netherlands' oldest zoo (1838). An oasis in city center. Aquarium and planetarium included.,high,4.5,,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/artis_zoo.jpg
Amsterdam,OTA,Backstage Bar,Backstage Bar,Bar,Oudezijds Armsteeg 7,"Red Light District'in kalbinde, samimi bir 'brown cafe' atmosferi sunan gizli bir mücevher. Amsterdam'ın en iyi Guinness biralarından birini sunmasıyla ünlüdür ve yanında bitterballen gibi Hollanda atıştırmalıkları servis edilir. Spor müsabakalarını izlemek veya sadece dostane bir sohbet için mükemmel, rahat bir ortamdır.","A hidden gem offering an intimate 'brown cafe' atmosphere in the heart of the Red Light District. Famous for serving one of the best Guinness beers in Amsterdam, accompanied by Dutch snacks like bitterballen. A perfect, relaxed environment to watch sports or just have a friendly chat.",medium,4.9,514,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/backstage_bar.jpg
