City,Route Name (TR),Route Name (EN),Image URL,Stops,Stop Count
Istanbul,Tarihi Yarımada Mirası,Historic Peninsula Heritage,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_33_bf6a6e64da0e.jpg,"Ayasofya, Sultanahmet Camii, Yerebatan Sarnıcı, Topkapı Sarayı, Kapalıçarşı, Mısır Çarşısı, Süleymaniye Camii",7
Istanbul,Boğaz & Saraylar Keyfi,Bosphorus & Palaces,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_88_4976cb0e6db1.jpg,"Boğaz Turu, Dolmabahçe Sarayı, Ortaköy, Bebek, Galata Kulesi, Rumeli Hisarı",6
Istanbul,Kadıköy Lokal Hayat,Kadıköy Local Spirit,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_99_f6cd10d3d204.jpg,"Kadıköy, Moda, Çiya Sofrası, Akmar Pasajı, Haydarpaşa Garı, Tellalzade Sokak",6
Istanbul,Sokak Lezzetleri Turu,Eternal Street Flavors,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_26_1e38c772cbf3.jpg,"Mısır Çarşısı, Kapalıçarşı, Karaköy Güllüoğlu, Hafız Mustafa 1864, Tarihi Sultanahmet Köftecisi, Şehzade Cağ Kebap",6
Istanbul,Modern Sanat Rotası,Modern Art & Haliç,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_46_aed14e46560e.jpg,"İstanbul Modern, Galata Kulesi, Balat, SALT Galata, Pera Müzesi, Tersane İstanbul",6
Istanbul,Beyoğlu Gece Hayatı,Beyoğlu Night Pulse,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_90_fd58ffaa0f77.jpg,"İstiklal Caddesi, Galata Kulesi, Mikla, Asmalı Cavit, Babylon, Nevizade Sokak",6
Istanbul,Çarşılar & Baharatlar,Bazaars & Artisans,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_31_47705dd9899e.jpg,"Kapalıçarşı, Mısır Çarşısı, Hafız Mustafa 1864, Arasta Çarşısı, Mahmutpaşa, Sahaflar Çarşısı",6
Istanbul,Adalar Kaçamağı,Princes' Islands Escape,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_72_a487746e2470.jpg,"Kabataş İskelesi, Büyükada, Aya Yorgi Kilisesi, Büyükada Marina, Heybeliada, Dilburnu Tabiat Parkı",6
Istanbul,Kahve Avcılığı,Specialty Coffee Hunt,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_10_85b2a283408c.jpg,"Petra Roasting, Kronotrop, Coffee Sapiens, MOC, Mandabatmaz, Federal Coffee",6
Istanbul,Gün Batımı Noktaları,Golden Hour Views,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_93_4dc9ba4b368e.jpg,"Üsküdar Salacak, Galata Kulesi, Pierre Loti, Süleymaniye, Maidens Tower (Kız Kulesi), Sanatkarlar Parkı",6
Barcelona,Gotik & Born Labirenti,Gothic Quarter & Born Maze,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_89_4e20eb109d8a.jpg,"Gothic Quarter, Plaça Reial, Las Ramblas, El Born, Museu Picasso, Santa Caterina Market",6
Barcelona,Gaudí'nin Hayal Rotası,Gaudí's Imaginative Path,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_6_0eb6a2602df8.jpg,"Sagrada Familia, Casa Batlló, Casa Milà (La Pedrera), Park Güell, Casa Vicens",5
Barcelona,Deniz & Tuz Kokusu,Sea & Salt Breezes,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_96_45f890a38613.jpg,"Barceloneta Beach, Barceloneta Mahallesi, Parc de la Ciutadella, Poblenou",4
Barcelona,El Born Şıklığı & Kültür,El Born Chic & Culture,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_69_68b54418ba32.jpg,"Museu Picasso, El Born, Santa Caterina Market, Palau de la Música Catalana",4
Barcelona,Gracia Köy Havası,Gracia Village Vibes,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_21_4ef501140861.jpg,"Gràcia, Park Güell, Casa Vicens",3
Barcelona,Tapas & Pazar Turu,Tapas & Market Trail,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_17_a0f723a5473f.jpg,"La Boqueria, Santa Caterina Market, El Born, El Raval, Gràcia",5
Barcelona,Montjuïc Tepeleri,Montjuïc Heights,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_55_900090f84888.jpg,"Montjuïc, MNAC, Fundació Joan Miró, Magic Fountain of Montjuïc",4
Barcelona,Raval Sokak Ruhu,Raval Street Spirit,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_78_0a29a942fe24.jpg,"MACBA, El Raval, Las Ramblas",3
Barcelona,Romantik Masal,Romantic Fairytale,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_8_158db484b4fc.jpg,"Bunkers del Carmel, Tibidabo, Parc del Laberint d'Horta, Parc de la Ciutadella, Magic Fountain of Montjuïc",5
Barcelona,Eixample Görkemi,Eixample Grandeur,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_11_80274a290974.jpg,"Casa Batlló, Casa Milà (La Pedrera), Sant Pau Recinte Modernista",3
Paris,Paris İkonları,Parisian Landmarks,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_67_ead25968001b.jpg,"Eyfel Kulesi, Trocadéro, Arc de Triomphe, Champs-Élysées, Place de la Concorde, Musée d'Orsay",6
Paris,Montmartre'ın Sanat Ruhu,Montmartre's Artistic Soul,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_48_cbaa1b6dec35.jpg,"Montmartre, Sacré-Cœur Bazilikası, Place du Tertre, Moulin Rouge, Mur des Je t'aime, Musée de Montmartre",6
Paris,Le Marais Tüccar Tarihi,Le Marais Merchant History,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/paris/le_marais.jpg,"Le Marais, Place des Vosges, Rue des Rosiers, Museé Carnavalet, Saint-Paul-Saint-Louis, L'As du Fallafel",6
Paris,Sanat Maratonu,Art Immersion Marathon,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_0_07607c15f585.jpg,"Louvre Müzesi, Musée d'Orsay, Musée de l'Orangerie, Centre Pompidou, Musée Rodin, Palais Royal",6
Paris,Gurme Paris Rotası,Gourmet Paris Trail,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_51_be1a058d1665.jpg,"Marché d'Aligre, Rue Cler, Saint-Germain-des-Prés, Café de Flore, Canal Saint-Martin, Belleville",6
Paris,Adalar & Nehir Sırları,Islands & River Secrets,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_60_5399dbd91a5e.jpg,"Notre-Dame Katedrali, Sainte-Chapelle, Pont Neuf, Pont Alexandre III, Shakespeare and Company, Île de la Cité",6
Paris,Latin Mahallesi Öğrenci Hayatı,Latin Quarter Scholarly Life,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_65_8b8fe7766b61.jpg,"Sorbonne, Panthéon, Jardin du Luxembourg, Shakespeare and Company, Rue Mouffetard, Latin Quarter",6
Paris,Işıklar Şehri Gecesi,City of Lights Nocturne,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_41_9a6c2a06d853.jpg,"Eyfel Kulesi, Pont Alexandre III, Moulin Rouge, Canal Saint-Martin, Notre-Dame Katedrali, Arc de Triomphe",6
Paris,Versay Kraliyet Kaçamağı,Versailles Royal Escape,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_70_1e960c1fa6c6.jpg,"Palace of Versailles, Gardens of Versailles, Petit Trianon, Grand Trianon, Queen's Hamlet, Hall of Mirrors",6
Paris,Canal Saint-Martin ve Ötesi,Canal Saint-Martin & Beyond,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_94_d0eef0992036.jpg,"Canal Saint-Martin, Belleville, Buttes-Chaumont Parkı, Le Marais, Place de la République, Bassin de la Villette",6
Rome,Antik İmparatorluk Yolu,Ancient Imperial Wonders,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_28_f9996e9397f7.jpg,"Kolezyum, Roma Forumu, Palatino Tepesi (Palatine Hill), Altare della Patria (Vittoriano), Largo di Torre Argentina, Baths of Caracalla",6
Rome,Vatikan Başyapıtları,Vatican Masterpieces,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_27_e8251a946240.jpg,"Vatikan Müzeleri, St. Peter's Basilica (San Pietro Bazilikası), Castel Sant'Angelo, Borgo, Villa Farnesina, Janiculum (Gianicolo)",6
Rome,Trastevere Bohem Gecesi,Trastevere Bohemian Night,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_14_a082a4012e15.jpg,"Trastevere, Basilica di Santa Maria in Trastevere, Piazza Trilussa, Da Enzo al 29, Supplì Roma, Vicolo del Moro",6
Rome,Roma Gurme Lezzetler,Gourmet Roman Flavours,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_73_5c8b38dd46bf.jpg,"Mercato di Testaccio, Roscioli, Campo de' Fiori, Da Enzo al 29, Mordi e Vai, Supplì Roma",6
Rome,Barok Meydanlar & Çeşmeler,Baroque Squares & Fountains,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_13_dd658c7019cb.jpg,"Trevi Çeşmesi, Pantheon, Piazza Navona, Spanish Steps (İspanyol Merdivenleri), Piazza del Popolo, Piazza Venezia",6
Rome,Artizan Dondurma Yolu,Artisanal Gelato Trail,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_66_3cdd57473cb5.jpg,"Giolitti, Frigidarium, Fatamorgana, Gelateria del Teatro, Old Bridge Gelateria, Come il Latte",6
Rome,Ebedi Şehir Ufukları,Eternal City Horizons,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_3_563dd24e0407.jpg,"Knights of Malta Keyhole, Giardino degli Aranci, Pincio Tepesi, Janiculum (Gianicolo), Villa Borghese, Altare della Patria (Vittoriano)",6
Rome,Aperitivo Saati & Manzaralar,Aperitivo Hour & Views,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_32_fadce2eed52a.jpg,"Hotel Raphael Terrace, Salotto 42, Etablì, Terrazza Borromini, Freni e Frizioni, Jerry Thomas Speakeasy",6
Rome,Yahudi Mahallesi Mirası,Jewish Ghetto Heritage,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_42_2ea9f5fbc3c8.jpg,"Portico d'Ottavia, Great Synagogue, Nonna Betta, Turtle Fountain, Theatre of Marcellus, Campo de' Fiori",6
Rome,Erken Kuş Roma Turu,Early Bird's Rome,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_13_dd658c7019cb.jpg,"Trevi Çeşmesi, Pantheon, Piazza Navona, İspanyol Merdivenleri, Piazza del Popolo, Castel Sant'Angelo",6
London,Kraliyet Londra Turu,Royal London Walk,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_105_d71f8b45f6c3.jpg,"Buckingham Palace, Big Ben & Westminster, Tower Bridge, Hyde Park",4
London,Ücretsiz Müze Günü,Free Museum Day,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_85_6c84d4c877fd.jpg,"British Museum, Natural History Museum, V&A Museum, Tate Modern",4
London,East End Sokak Sanatı,East End Street Art,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_34_ba96372362cc.jpg,"Brick Lane, Shoreditch, Borough Market",3
London,South Bank Kültür Rotası,South Bank Culture,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_29_37cbdc3c13db.jpg,"Tate Modern, Borough Market, Tower Bridge, St. Paul's Cathedral",4
London,Borough Market Turu,Borough & Beyond,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_95_0c0d4ef9805a.jpg,"Borough Market, Maltby Street Market, The George Inn",3
London,Notting Hill Renkleri,Notting Hill Colors,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_58_354d46c47f92.jpg,"Portobello Road Market, Notting Hill, Hyde Park",3
London,Tarihi Pub Turu,Historic Pub Crawl,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/routes/route_photo_12_6bf25c0316f1.jpg,"Ye Olde Cheshire Cheese, The Lamb and Flag, Gordon's Wine Bar",3
