Language,City,Route Name,Stop Count,Places
Turkish,Istanbul,Tarihi Yarımada Mirası,7,"Ayasofya, Sultanahmet Camii, Yerebatan Sarnıcı, Topkapı Sarayı, Kapalıçarşı, Mısır Çarşısı, Süleymaniye Camii"
English,Istanbul,Historic Peninsula Heritage,7,"Ayasofya, Sultanahmet Camii, Yerebatan Sarnıcı, Topkapı Sarayı, Kapalıçarşı, Mısır Çarşısı, Süleymaniye Camii"
Turkish,Istanbul,Boğaz & Saraylar Keyfi,6,"Boğaz Turu, Dolmabahçe Sarayı, Ortaköy, Bebek, Galata Kulesi, Rumeli Hisarı"
English,Istanbul,Bosphorus & Palaces,6,"Boğaz Turu, Dolmabahçe Sarayı, Ortaköy, Bebek, Galata Kulesi, Rumeli Hisarı"
Turkish,Istanbul,Kadıköy Lokal Hayat,6,"Kadıköy, Moda, Çiya Sofrası, Akmar Pasajı, Haydarpaşa Garı, Tellalzade Sokak"
English,Istanbul,Kadıköy Local Spirit,6,"Kadıköy, Moda, Çiya Sofrası, Akmar Pasajı, Haydarpaşa Garı, Tellalzade Sokak"
Turkish,Istanbul,Sokak Lezzetleri Turu,6,"Mısır Çarşısı, Kapalıçarşı, Karaköy Güllüoğlu, Hafız Mustafa 1864, Tarihi Sultanahmet Köftecisi, Şehzade Cağ Kebap"
English,Istanbul,Eternal Street Flavors,6,"Mısır Çarşısı, Kapalıçarşı, Karaköy Güllüoğlu, Hafız Mustafa 1864, Tarihi Sultanahmet Köftecisi, Şehzade Cağ Kebap"
Turkish,Istanbul,Modern Sanat Rotası,6,"İstanbul Modern, Galata Kulesi, Balat, SALT Galata, Pera Müzesi, Tersane İstanbul"
English,Istanbul,Modern Art & Haliç,6,"İstanbul Modern, Galata Kulesi, Balat, SALT Galata, Pera Müzesi, Tersane İstanbul"
Turkish,Istanbul,Beyoğlu Gece Hayatı,6,"İstiklal Caddesi, Galata Kulesi, Mikla, Asmalı Cavit, Babylon, Nevizade Sokak"
English,Istanbul,Beyoğlu Night Pulse,6,"İstiklal Caddesi, Galata Kulesi, Mikla, Asmalı Cavit, Babylon, Nevizade Sokak"
Turkish,Istanbul,Çarşılar & Baharatlar,6,"Kapalıçarşı, Mısır Çarşısı, Hafız Mustafa 1864, Arasta Çarşısı, Mahmutpaşa, Sahaflar Çarşısı"
English,Istanbul,Bazaars & Artisans,6,"Kapalıçarşı, Mısır Çarşısı, Hafız Mustafa 1864, Arasta Çarşısı, Mahmutpaşa, Sahaflar Çarşısı"
Turkish,Istanbul,Adalar Kaçamağı,6,"Kabataş İskelesi, Büyükada, Aya Yorgi Kilisesi, Büyükada Marina, Heybeliada, Dilburnu Tabiat Parkı"
English,Istanbul,Princes' Islands Escape,6,"Kabataş İskelesi, Büyükada, Aya Yorgi Kilisesi, Büyükada Marina, Heybeliada, Dilburnu Tabiat Parkı"
Turkish,Istanbul,Kahve Avcılığı,6,"Petra Roasting, Kronotrop, Coffee Sapiens, MOC, Mandabatmaz, Federal Coffee"
English,Istanbul,Specialty Coffee Hunt,6,"Petra Roasting, Kronotrop, Coffee Sapiens, MOC, Mandabatmaz, Federal Coffee"
Turkish,Istanbul,Gün Batımı Noktaları,6,"Üsküdar Salacak, Galata Kulesi, Pierre Loti, Süleymaniye, Maidens Tower (Kız Kulesi), Sanatkarlar Parkı"
English,Istanbul,Golden Hour Views,6,"Üsküdar Salacak, Galata Kulesi, Pierre Loti, Süleymaniye, Maidens Tower (Kız Kulesi), Sanatkarlar Parkı"
