name,category,description,neighborhood
Lola,Tapas Bar,"İspanyol tapas ve vermut bar, charcuterie, peynir, galicia usulü ahtapot",Old Town
Bublina,Bistro,"Akdeniz mutfağı, İtalyan-Yunan-İspanyol-Kuzey Afrika karışımı",Vinohrady
420 Restaurant,Modern Czech,"Michelin yıldızlı şef Radek Kašpárek'in yeni nesil Çek mutfağı",Old Town
Skô,Slovak Restaurant,"Prag'ın ilk genç Slovak restoranı, açık ateşte pişirme",Karlín
Nai,Ukrainian Restaurant,"Ukrayna mutfağı, lahana dolması, borş, Kyiv usulü kotlet",Smíchov
Sandwich Rodeo,American Diner,"Retro 1970'ler Amerikan tarzı, karidesli sandviç",Letná
Restaurant Talíř,Modern Czech,"Çek mutfağını tapas tarzında sunan, şef Denis Wágner",Malá Strana
La Bottega Linka,Italian,"X-Oven kömür fırını, et ve balık",Nové Město
Restaurant Zvonice,Traditional Czech,"Jindřišská Kulesi içinde, çanların arasında yemek",Nové Město
Mlýnec,Fine Dining,"Michelin seçili, Charles Köprüsü manzaralı",Old Town
Terasa U Zlaté Studně,Fine Dining,"5 yıldızlı otel terası, Michelin yıldızlı",Malá Strana
George Prime Steak,Steakhouse,"Amerikan stili etler ve deniz mahsulleri",Old Town
Mexická,Mexican,"Otantik Meksika mutfağı, 2024 açılış",Žižkov
Cernomorka,Ukrainian Seafood,"Ukrayna deniz ürünleri",Vinohrady
Finestrina,Italian Fine Dining,"Üst düzey İtalyan mutfağı, 2025",Nové Město
Centraal,Fast Casual,"Kızarmış tavuk sandviçleri",Karlín
MIRU,Japanese-Peruvian,"Four Seasons çatı katı, mevsimsel",Old Town
U Bansethů,Czech Pub,"1921'den beri aile işletmesi, mikro bira",Nusle
Pivovar Bašta,Brewery,"Yerel deneyim, ev yapımı biralar",Nusle
Automat Matuška,Beer Bar,"Matuška bira özel menüsü",Dejvice
Sibeeria Tap Room,Craft Beer,"14 musluk, hazy IPA odaklı",Vinohrady
Nota Bene,Beer Bar & Restaurant,"13 musluk, yerel küçük bira fabrikaları",Karlín
Pult,Beer Bar,"Polonya biraları odaklı, modern",Vinohrady
Sedmej Schod,Beer Bar,"4 musluk, Antoš ve Počernický biraları",Vinohrady
Kulový Blesk,Beer Bar,"27 musluk, Únětice ve Kocour biraları",Žižkov
The Tavern,Beer Bar,"Riegrovy sady yanı, dönen bira menüsü",Vinohrady
Pivovar Národní,Brewery,"Czech Lion ve yaratıcı biralar",Nové Město
Etapa,Brunch,"Karlín'de popüler brunch, kaliteli kahve",Karlín
Le Caveau Kavárna,French Brunch,"Croque Madame, Eggs Florentine",Vinohrady
The Flat Café,British Brunch,"İngiliz kahvaltısı, buttermilk pancake",Vršovice
Kavárna Tvoje Máma,Brunch,"Yerel favori kahvaltı mekanı",Vinohrady
Alma Café,Breakfast,"Özelleştirilebilir kahvaltı, KRO sandviçleri",Old Town
Bistro Karel,Brunch,"Troja Kalesi bahçesinde brunch",Troja
Veltlin,Wine Bar,"Doğal şaraplar, Karlín'de kült mekan",Karlín
Na Břehu Rhony,Wine Bar,"Rhone vadisi şarapları, nehir manzarası",Výtoň
Noelka Wine Bar,Wine Bar,"Moravya şarapları, küçük üreticiler",Žižkov
Koštovna u Počtů,Wine Bar,"Self-servis tadım bodrum",Letná
Šenkovna Fine Wine Pub,Wine Bar,"Moravya ve uluslararası şaraplar",Vinohrady
Přátelé Wine Friends,Wine Bar,"Bohemya, Moravya ve Avrupa şarapları",Vinohrady
Vinárna U Sudu,Wine Bar,"Efsanevi yer altı şarap barı, gece hayatı",Old Town
U Glaubiců,Traditional Czech,"Kale yanı, domuz ve gulaş",Malá Strana
Krcma,Traditional Czech,"Ortaçağ tarzı, 2 kg et ziyafeti",Old Town
Malostranská Beseda,Traditional Czech,"Rönesans bina, canlı müzik",Malá Strana
Pork's,Pork Restaurant,"Minimalist domuz eti mekanı, büyük porsiyonlar",Malá Strana
Výčep,Pub Restaurant,"Ev yapımı ürünler, av eti",Vinohrady
Tiskárna Národní,Modern Czech,"Beef Goulash ve Svíčková",Nové Město
Pivní Přístav,Beer Bar,"Bira tapas, sosisler, marine peynir",Karlín
El Camino Tapas,Spanish,"İspanyol tapas, şarap ve sherry",Vinohrady
Porke Tapas,Spanish,"Popüler tapas mekanı",Nové Město
